pid,wave,year,zattfam,age,female,qualhi,partner,country
18623247,6,2001,0.2,30,0,0,1,3
18683703,1,1991,-0.17,20,0,0,0,3
18683703,2,1993,-0.35,22,0,0,1,3
18683703,3,1995,0.04,24,0,0,1,3
18683703,4,1997,0.13,26,0,0,1,3
18683703,5,1999,0.16,28,0,0,1,3
18683703,6,2001,1.08,30,0,0,1,3
18683703,7,2003,-1.38,32,0,0,1,3
18683703,8,2005,-1.36,34,0,0,1,3
18683703,9,2007,-1.98,36,0,0,0,3
18701582,1,1991,1.73,20,0,0,1,3
18701582,2,1993,1.09,22,0,0,0,3
18909868,1,1991,-0.04,20,0,0,0,3
18909868,2,1993,0.31,22,0,0,0,3
18909868,3,1995,0.65,24,0,0,0,3
18909868,4,1997,0.76,26,0,0,0,3
18909868,5,1999,0.76,28,0,0,0,3
18909868,6,2001,0.76,30,0,0,1,3
18909868,7,2003,0.24,32,0,1,1,3
18909868,8,2005,0.17,34,0,1,1,3
18909868,9,2007,0.76,36,0,1,1,3
18979211,1,1991,0.39,20,0,0,0,3
18979211,2,1993,0.6,22,0,1,0,3
18979211,3,1995,0.21,24,0,1,0,3
18987826,1,1991,1.02,20,0,0,0,3
18987826,2,1993,1.66,22,0,1,0,1
18987826,3,1995,1.21,24,0,1,0,1
18987826,4,1997,1.37,26,0,1,0,1
18987826,5,1999,1.57,28,0,1,1,1
18987826,6,2001,1.09,30,0,1,1,1
18987826,7,2003,1.27,32,0,1,1,1
18987826,8,2005,1.36,34,0,1,1,1
18987826,9,2007,1.17,36,0,1,1,1
18987869,1,1991,1.84,20,1,0,0,3
18987869,2,1993,0.36,22,1,1,0,3
18987869,3,1995,0.06,24,1,1,1,3
18987869,5,1999,0.62,28,1,1,0,3
18987869,6,2001,-0.26,30,1,1,0,3
18987869,7,2003,0.03,32,1,1,0,3
18987869,8,2005,0.1,34,1,1,0,3
18987869,9,2007,-0.16,36,1,1,0,3
18993028,1,1991,0.31,20,1,0,0,3
18993028,2,1993,1.26,22,1,0,0,3
18993028,3,1995,0.61,24,1,0,0,3
19011687,1,1991,-1.51,20,1,0,1,3
19011687,2,1993,-0.53,22,1,0,1,3
19011687,3,1995,0.27,24,1,0,1,3
19019157,1,1991,0.53,20,1,0,0,3
19019157,2,1993,-0.84,22,1,0,1,3
19019157,3,1995,-0.03,24,1,0,1,3
19019157,4,1997,0.32,26,1,0,1,3
19019157,5,1999,-0.63,28,1,0,1,3
19019157,6,2001,0.46,30,1,0,1,3
19019157,7,2003,-0.63,32,1,0,1,3
19019157,8,2005,0.15,34,1,0,0,3
19019157,9,2007,-0.09,36,1,0,0,3
19083467,1,1991,0.5,20,1,0,0,3
19083467,2,1993,0.91,22,1,0,0,3
19083467,3,1995,1.7,24,1,0,0,3
19083467,4,1997,1.17,26,1,0,0,3
19083467,5,1999,1.73,28,1,0,1,3
19083467,6,2001,1.27,30,1,0,1,3
19083467,7,2003,1.55,32,1,0,1,3
19083467,8,2005,1.86,34,1,0,1,3
19083467,9,2007,1.46,36,1,0,1,3
19109156,2,1993,0.54,22,1,0,0,3
19109156,3,1995,1.26,24,1,0,1,3
19109156,4,1997,0.61,26,1,0,1,3
19109156,5,1999,-1.25,28,1,0,1,3
19109156,6,2001,2.15,30,1,0,1,3
20014848,2,1993,0.59,22,0,0,1,1
20014848,3,1995,0.19,24,0,0,1,1
20014848,4,1997,0.89,26,0,0,1,1
20014848,5,1999,-0.15,28,0,0,1,1
20014848,6,2001,-0.16,30,0,0,1,1
20014848,7,2003,-0.67,32,0,0,1,1
20014848,8,2005,-1.3,34,0,0,1,1
20014848,9,2007,-0.32,36,0,0,1,1
20014864,2,1993,0.07,22,0,0,1,1
20014864,3,1995,-0.84,24,0,0,1,1
20014864,4,1997,-0.77,26,0,0,1,1
20014864,5,1999,0.32,28,0,0,1,1
21856885,2,1993,-1.03,22,1,0,1,1
21856885,3,1995,-0.77,24,1,0,0,1
21856885,4,1997,0.05,26,1,0,0,1
21856885,5,1999,0.05,28,1,0,0,1
21856885,6,2001,0.28,30,1,0,0,1
22005218,2,1993,-1.15,22,1,0,1,1
22005218,3,1995,-0.59,24,1,0,1,1
22005218,4,1997,-1.75,26,1,0,1,1
22005218,5,1999,-1.21,28,1,0,1,1
22005218,6,2001,-0.96,30,1,0,1,1
22005218,7,2003,-1.33,32,1,0,1,1
22005218,8,2005,-1.68,34,1,0,1,1
25365363,2,1993,-0.75,22,0,0,1,1
25365363,3,1995,-0.72,24,0,0,1,1
25365363,4,1997,-0.09,26,0,0,1,1
26372231,2,1993,-0.5,22,0,0,0,1
26372231,3,1995,-0.3,24,0,0,0,1
26372231,4,1997,-0.35,26,0,0,0,1
26741008,6,2001,0.27,30,1,0,1,1
26741008,8,2005,0.19,34,1,0,1,1
26741008,9,2007,0.26,36,1,0,1,1
30868769,2,1993,-1.58,22,1,0,1,1
30868769,3,1995,-1.28,24,1,1,1,1
30868769,4,1997,-1.52,26,1,1,1,1
30868769,5,1999,-0.83,28,1,1,1,1
30868769,6,2001,-0.4,30,1,1,1,1
30868769,7,2003,-1.65,32,1,1,1,1
30868769,8,2005,-2.01,34,1,1,1,1
30868769,9,2007,-1.68,36,1,1,1,1
31128033,2,1993,0.3,22,0,0,0,1
31128033,3,1995,0.13,24,0,0,1,1
31128033,4,1997,-0.36,26,0,0,1,1
31128033,5,1999,-1.44,28,0,0,1,1
31128033,6,2001,-1.63,30,0,0,1,1
31128033,7,2003,-1.96,32,0,0,1,1
31128033,8,2005,-0.44,34,0,0,1,1
31128033,9,2007,-0.8,36,0,0,1,1
31424848,2,1993,-0.15,22,0,0,0,1
31424848,4,1997,-0.63,26,0,0,0,1
31424848,5,1999,-0.55,28,0,0,0,1
32169256,2,1993,-0.69,22,0,1,0,1
32169256,3,1995,-0.32,24,0,1,0,1
32169337,2,1993,-2.04,22,0,1,0,1
32169337,3,1995,-0.29,24,0,1,0,1
32640617,2,1993,0.99,22,1,0,1,1
32640617,3,1995,0.86,24,1,0,1,1
32640617,4,1997,1.4,26,1,0,0,1
32640617,5,1999,0.42,28,1,0,0,1
32640617,6,2001,0.4,30,1,0,1,1
32705689,2,1993,-1.69,22,1,0,1,1
32705689,3,1995,-2.41,24,1,0,1,1
32705689,4,1997,0.69,26,1,0,1,1
32705689,5,1999,-1.6,28,1,0,1,1
32705689,6,2001,-1.46,30,1,0,1,1
32705689,7,2003,-1.18,32,1,0,1,1
32705689,8,2005,-1.58,34,1,0,1,1
32705689,9,2007,-1.24,36,1,0,1,1
33567549,2,1993,1.65,22,1,0,1,1
33567549,3,1995,-0.47,24,1,0,1,1
34041648,2,1993,0.31,22,0,1,1,1
34041648,3,1995,-2.08,24,0,1,1,1
34041648,4,1997,-0.55,26,0,1,1,1
34041648,5,1999,0.15,28,0,1,1,1
34041648,6,2001,-1.8,30,0,1,1,1
34041648,7,2003,-2.51,32,0,1,1,1
34041648,8,2005,-2.08,34,0,1,1,1
34041648,9,2007,-2.53,36,0,1,1,1
34288716,2,1993,0.96,22,1,0,1,1
34288716,3,1995,0.86,24,1,0,1,1
34288716,4,1997,1.5,26,1,0,1,1
34288716,5,1999,0.96,28,1,0,1,1
34288716,6,2001,1.31,30,1,0,1,1
34288716,7,2003,1.08,32,1,0,1,1
34288716,8,2005,0.48,34,1,0,1,1
34288716,9,2007,0.8,36,1,0,1,1
36014028,2,1993,-0.09,22,1,1,1,1
36014028,3,1995,0.84,24,1,1,1,1
36014028,4,1997,0.67,26,1,1,1,1
36014028,5,1999,1,28,1,1,1,1
36014028,6,2001,1.78,30,1,1,1,1
36531537,2,1993,0.29,22,0,1,0,1
36531537,3,1995,0.22,24,0,1,0,1
36612359,2,1993,-0.65,22,0,0,1,1
36612359,3,1995,0.61,24,0,0,1,1
36612359,4,1997,2.27,26,0,0,1,1
36612359,5,1999,1.08,28,0,0,1,1
36612359,6,2001,2.01,30,0,0,1,1
36612359,7,2003,1.06,32,0,0,1,1
36612359,8,2005,0.92,34,0,0,1,1
36612359,9,2007,1,36,0,0,1,1
36845736,2,1993,-2.17,22,1,1,0,2
36845736,3,1995,-1.92,24,1,1,0,2
37092278,2,1993,-1.37,22,1,1,0,1
37092278,3,1995,-0.75,24,1,1,0,1
37092316,2,1993,-0.77,22,0,1,0,1
37092316,3,1995,0.43,24,0,1,0,1
37293869,2,1993,-0.22,22,1,0,1,3
37293869,3,1995,0.54,24,1,1,1,3
40182118,3,1995,0.27,24,0,0,1,1
40182118,4,1997,0.2,26,0,0,1,1
40182118,5,1999,0.58,28,0,0,1,1
40182118,6,2001,-0.29,30,0,0,1,1
40182118,7,2003,-1.39,32,0,0,1,1
40182118,8,2005,0.01,34,0,0,1,1
40182118,9,2007,-0.54,36,0,0,1,1
42371848,3,1995,0.64,24,1,0,1,1
42371848,4,1997,1.12,26,1,0,1,1
44228368,3,1995,0.26,24,0,1,1,1
44228368,4,1997,0.62,26,0,1,1,1
44228368,5,1999,0.22,28,0,1,1,1
44228368,6,2001,-0.35,30,0,1,1,1
44487606,3,1995,-1.17,24,0,0,1,1
44487606,4,1997,-0.64,26,0,0,1,1
44487606,5,1999,-0.83,28,0,0,1,1
44487606,6,2001,-1.06,30,0,0,1,1
44487606,7,2003,-0.91,32,0,0,1,1
44487606,8,2005,-1.21,34,0,0,1,1
44487606,9,2007,-0.83,36,0,0,1,1
46846727,3,1995,0.12,24,1,0,1,1
46846727,5,1999,-0.82,28,1,0,1,1
46846727,6,2001,-0.66,30,1,0,1,1
46846727,7,2003,-0.6,32,1,0,1,1
46846727,8,2005,-1.63,34,1,0,1,1
46846727,9,2007,-1.02,36,1,0,1,1
46907548,3,1995,1.59,24,1,0,1,1
46907548,4,1997,0.75,26,1,0,1,1
47321849,3,1995,0.28,24,1,1,1,1
47321849,4,1997,-1.37,26,1,1,0,1
47736607,3,1995,0.66,24,1,0,1,1
47736607,4,1997,0.81,26,1,0,1,1
47736607,5,1999,0.68,28,1,0,1,1
47736607,6,2001,1.17,30,1,0,1,1
47736607,7,2003,0.82,32,1,0,1,1
47736607,8,2005,0.71,34,1,0,1,1
47736607,9,2007,-0.37,36,1,0,1,1
52093069,3,1995,1.47,24,1,1,1,1
52093069,4,1997,0.38,26,1,1,1,1
52093069,5,1999,-0.19,28,1,1,1,1
52093069,6,2001,0.51,30,1,1,1,1
52093069,7,2003,-0.85,32,1,1,1,1
52093069,8,2005,-0.53,34,1,1,1,1
52093069,9,2007,-1.11,36,1,1,1,1
52579581,3,1995,-0.13,24,0,0,1,1
52579581,5,1999,-0.3,28,0,0,1,1
52579581,6,2001,-0.06,30,0,0,1,1
52579581,7,2003,-0.07,32,0,0,1,1
52579581,8,2005,-1.04,34,0,0,1,1
52579581,9,2007,-0.36,36,0,0,1,1
52997758,3,1995,-0.43,24,1,0,1,1
52997758,4,1997,-0.21,26,1,0,1,1
52997758,5,1999,-0.35,28,1,0,1,1
53282388,3,1995,0.48,24,1,0,1,1
53282388,4,1997,1.82,26,1,0,1,1
53282388,5,1999,0.87,28,1,0,1,1
53282388,6,2001,-0.65,30,1,0,1,1
53282388,7,2003,1.16,32,1,0,1,1
53282388,8,2005,1.16,34,1,0,1,1
53282388,9,2007,1.3,36,1,0,1,1
53980247,3,1995,0.22,24,0,0,1,1
53980247,4,1997,-0.78,26,0,1,1,1
53980247,5,1999,-0.59,28,0,1,1,1
53980247,6,2001,-0.71,30,0,1,1,1
53980247,8,2005,-1.44,34,0,1,1,1
53980247,9,2007,-1.92,36,0,1,1,2
54198216,3,1995,1.51,24,1,1,1,1
54198216,4,1997,0.47,26,1,1,1,1
54198216,5,1999,0.01,28,1,1,1,1
54198216,6,2001,-0.42,30,1,1,1,1
54198216,7,2003,-0.53,32,1,1,1,1
54198216,8,2005,-0.36,34,1,1,1,1
